"PackageId","Version"
"0x192.UniversalAndroidDebloaterGUI","0.5.1"
"0xGingi.Browser","115.0.5790.110"
"0xJacky.nginx-ui","2.1.17"
"115.115Chrome","35.30.0"
"123.123pan","2.5.1.0"
"1357310795.JboxTransfer","2.0.4"
"1357310795.TboxWebdav","1.0.1"
"15722UsefulApp.WorkspaceLauncherForVSCode","1.17.0.0"
"1History.1History","0.3.3"
"1IC.BPMN-RPAStudio","28.0.0"
"1zilc.FishingFunds","8.5.1"
"2BrightSparks.SyncBackFree","11.3.113.0"
"2BrightSparks.SyncBackPro","11.3.113.0"
"2BrightSparks.SyncBackSE","11.3.113.0"
"2dust.v2rayN","7.13.7"
"34u.MultiBaseCSBirdBase","5.3.9"
"34u.MultiBaseCSHome","5.3.9"
"34u.MultiBaseCSProfessional","5.3.9"
"34u.MultiBaseCSServer","5.3.9"
"360.360AlbumViewer","1.0.1.1210"
"360.360Chrome","13.5.2044.0"
"360.360Chrome.X","22.3.3195.64"
"360.360CleanMaster","1.0.0.1020"
"360.360DesktopLite","11.0.0.2201"
"360.360DocProtect","1.0.0.1202"
"360.360Ent","13.1.2002.432"
"360.360File","1.0.0.1170"
"360.360GT","13.6.1047.0"
"360.360SE","16.1.2000.64"
"360.360VirtualVault","1.0.0.1004"
"360.360Zip","1.0.0.1041"
"360.NamiAI","1.3.1440.64"
"360.PalmInput","3.2.5.1020"
"3CX.CallFlowDesigner","18.5.8"
"3CX.MultilineTAPI","1.0.33"
"3CX.PhoneSystem","20.0.6.724"
"3CX.Softphone","20.0.967.0"
"3d-io.Exr-IO","2.06.00"
"3Dconnexion.3DxWare.10","10.9.7.709"
"3Dflow.3DFZephyr.Free","8.017"
"3DSpace.TopoLT","17.2.0.13"
"3DVista.VirtualTour","2025.1.27"
"3ll3d00d.beqdesigner","1.1.8"
"3TSoftwareLabs.Robo3T","1.4.4"
"3TSoftwareLabs.Studio3T","2025.14.0"
"4gray.iptvnator","0.16.0"
"4ngel2769.MessyOrganizer","1.0.0"
"4tNiagaraSoftware.4tTrayMinimizer","6.07"
"5E.5EClient","8.2.1"
"5mdt.WinGoDarkTray","2.2.0"
"5rahim.Seanime","2.9.4"
"64Gram.64Gram","1.1.77"
"720kb.ndm","1.2.0"
"7room.Aya","0.10.5"
"7S2P.Effie","6.1.15"
"7S2P.Effie.CN","6.1.17"
"7zip.7zip","25.01"
"7zip.7zip.Alpha.exe","24.01"
"7zip.7zip.Alpha.msi","24.01.00.0"
"86Box.86Box","4.2.1"
"86Box.86BoxManager","1.7.4"
"8x8.QualityManagement","6.3.0"
"8x8.Work","8.25.2"
"99designs.aws-vault","7.2.0"
"A-SIT.PDF-Over","4.4.6.1"
"A2-Ai.rv","0.12.1"
"AAAInternetPublishing.WTFast","5.5.24.0"
"Aakash.Swiss","1.0.0"
"aandrew-me.ytDownloader","3.19.1"
"Aardappel.Cube","2005.08.29"
"Aardappel.lobster","2025.2"
"AAS.WorldWideTelescope","6.1.2"
"AB0WV.PinPoint","2.0-230511"
"Abacus.AbaClient","3.3.1039"
"ABB.e-Design","1.15.0.0004"
"ABB.i-busTool","1.9.55.0"
"ABB.RobotStudio","2025.2"
"abbodi1406.vcredist","0.92.0"
"ABC.ABCEBankAssistant","1.0.25.0208"
"ABC.PowerExtension","1"
"AbdelrahmanBayoumi.Azkar","1.2.9"
"Abdelrhman-AK.WinPaletter","1.0.9.4"
"abdenasser.NeoHtop","1.2.0"
"abelhadigital.HostsMan","4.7.105"
"abgox.InputTip","2025.08.03"
"abhimanyu003.sttr","0.2.26"
"Ability.AbilityOffice.10.Professional","10.0.3"
"Ability.AbilityOffice.10.Standard","10.0.3"
"Ability.AbilityOffice.8.Professional","8.0.4"
"Ability.AbilityOffice.8.Standard","8.0.4"
"Ablaze.Floorp","11.29.0"
"Ablaze.Floorp.Daylight","138.0.3@12.0.0-rc.1"
"Ableton.AbletonLive10Suite","10.1.43"
"AbleWord.AbleWord","3"
"abrignoni.ALEAPP","3.3.0"
"abrignoni.ALEAPP-cli","3.3.0"
"abrignoni.iLEAPP","2.1.0"
"abrignoni.iLEAPP-cli","2.1.0"
"AbstractSpoon.ToDoList","9.0.10"
"Abyss.AbyssOverlay","2.0.3"
"acaudwell.Gource","0.53"
"ACDSystems.ACDSee.Free","2.5.0.1164"
"ACDSystems.ACDSeeGemstone","15.0.0.1449"
"ACDSystems.ACDSeePhotoStudio.Home","28.1.0.3032"
"ACDSystems.ACDSeePhotoStudio.Professional","18.1.0.3131"
"ACDSystems.ACDSeePhotoStudio.Ultimate","18.1.0.4072"
"ACEStudio.ACEStudio","1.8.8"
"AcFun.AcFunVirtualTool","1.32.0.1772"
"AcFun.ARLiveForAcfunLive","0.3.3"
"achannarasappa.ticker","5.0.5"
"ACLAP.DownloadHelperCoApp","2.0.19.0"
"AcornLabs.Acorn","0.10.1"
"AcoustID.Chromaprint","1.5.1"
"Acronis.CyberProtectHomeOffice","28.3.1.41126"
"AcroSoftware.CutePDFWriter","4"
"ACROSSecurity.0patch","22.11.11.10550"
"acrosync.acrosync","1.7.611"
"acrosync.DuplicacyWeb","1.8.0"
"ACS.CCIDPCSCDriver","1.0.6.1"
"ACS.UnifiedPCSCDriver","4.4.2.0"
"Actifile.ActifileAgent","3.0.1.6"
"ActiveDatabaseSoftware.FlySpeedSQLQuery","4.10.7.0"
"ActiveDirectoryPro.365ProToolkit","1.1.16"
"ActiveDirectoryPro.ADProToolkit","2.3.6"
"activescott.lessmsi","2.7.3"
"ActiveState.KomodoEdit","12.0.1"
"ActiveState.KomodoIDE","12.0.1"
"ActivityWatch.ActivityWatch","0.13.2"
"actualsolution.VolumeLock","2.4.1"
"AdaLang.Alire","2.1.0"
"AdaLang.Alire.Portable","2.1.0"
"Adamant.Messenger","4.9.1"
"AdamMiskiewicz.GraphiQL","0.7.2"
"AderitoNeto.AfterLife","1.0.0"
"AdGuard.AdGuard","7.21.5081.0"
"AdGuard.AdGuard.Beta","7.21.5077.0"
"AdGuard.AdGuardHome","0.107.64"
"AdGuard.AdGuardHome.Beta","0.108.0-b.70"
"AdGuard.AdGuardVPN","2.6.1782.0"
"AdGuard.AdGuardVPN.Beta","2.7.1794.0"
"AdGuard.dnsproxy","0.76.1"
"ADInstruments.ConfigSoft","4.02.0000"
"ADInstruments.GLPClient","8.1.0400"
"ADInstruments.kuraCloudDesktop","1.14.1401"
"ADInstruments.LabChart","8.1.30400"
"ADInstruments.LabChart.DeviceEnabler.BloodFlowMeter","1.0.0400"
"ADInstruments.LabChart.DeviceEnabler.CODA","1.0.6400"
"ADInstruments.LabChart.DeviceEnabler.Equivital","1.2.1400"
"ADInstruments.LabChart.DeviceEnabler.HumanNIBP","2.0.8400"
"ADInstruments.LabChart.DeviceEnabler.Kent","1.2.5400"
"ADInstruments.LabChart.DeviceEnabler.OxfordOptronix","1.0.0400"
"ADInstruments.LabChart.DeviceEnabler.PhysioTelConnect","1.1.0400"
"ADInstruments.LabChart.DeviceEnabler.PlaybackFile","1.2.2400"
"ADInstruments.LabChart.DeviceEnabler.TrignoWireless","1.3.6400"
"ADInstruments.LabChart.DeviceEnabler.WiiBalanceBoard","1.1.0400"
"ADInstruments.LabChart.Extension.AudioOutput","2.3.0400"
"ADInstruments.LabChart.Extension.CardiacAxis","1.3.0400"
"ADInstruments.LabChart.Extension.EventManager","1.4.0400"
"ADInstruments.LabChart.Extension.ExportQuickTime","1.4.0400"
"ADInstruments.LabChart.Extension.FastResponseOutput","1.3.0400"
"ADInstruments.LabChart.Extension.GlucoseCalibration","1.0.1400"
"ADInstruments.LabChart.Extension.MultipointCalibration","1.3.0400"
"ADInstruments.LabChart.Extension.NICO","1.1.0400"
"ADInstruments.LabChart.Extension.Scheduler","2.2.0400"
"ADInstruments.LabChart.Extension.Spirometry","2.5.3400"
"ADInstruments.LabChart.Extension.Telegraph","1.3.0400"
"ADInstruments.LabChart.Module.BloodPressure","1.4.0400"
"ADInstruments.LabChart.Module.CardiacOutput","1.3.0400"
"ADInstruments.LabChart.Module.DMTNormalization","1.4.3400"
"ADInstruments.LabChart.Module.DoseResponse","1.3.0400"
"ADInstruments.LabChart.Module.ECGAnalysis","2.4.0400"
"ADInstruments.LabChart.Module.HRV","2.0.3400"
